,y_pred,x_ant,x_atual,flag,x_antp,x_atualp,acc_x,acc_y,acc_z,time_teda,time_rls_filter_1,time_rls_filter_2,time_rls_update
0,0,0,0,0,0,0,0.01,-0.01,0,41,37,29,103
1,0,0,0,0,0,0,0,-0.01,-0.01,92,32,28,109
2,0,0,0,0,0,0,0,-0.01,-0.01,47,29,42,97
3,0,0,0,0,0,0,-0.03,0.02,-0.07,54,28,32,98
4,0,0,7,1,0,0,0.03,0.01,-0.21,80,31,29,104
5,0,0,12,1,0,0,0.03,0.01,-0.15,80,28,29,98
6,0,0,16,0,0,16,-0.01,0.02,-0.15,68,35,32,103
7,27.555431,16,21,0,16,21,0.08,0.01,-0.15,85,28,31,99
8,31.392622,21,25,0,21,25,0.07,-0.01,-0.06,68,24,42,94
9,35.551140,25,29,0,25,29,0.07,0.01,-0.05,72,29,28,102
10,36.818012,29,31,0,29,31,0.02,-0.01,-0.09,70,24,31,106
11,38.445183,31,33,0,31,33,0.05,0.01,-0.05,78,24,32,97
12,40.223923,33,35,0,33,35,-0.01,0.02,-0.01,72,36,28,102
13,40.810581,35,36,0,35,36,0.03,0.01,-0.06,75,24,31,108
14,40.286076,36,36,0,36,36,0.08,0,-0.03,74,27,31,104
15,42.306400,36,38,0,36,38,-0.01,0,0.05,72,24,32,102
16,43.130737,38,39,0,38,39,0.03,-0.02,-0.11,72,24,32,103
17,45.170074,39,41,0,39,41,0.03,0,-0.04,75,32,31,98
18,47.205364,41,43,0,41,43,0.03,-0.03,-0.05,75,29,31,102
19,48.070435,43,44,0,43,44,0.04,-0.01,0.04,70,24,29,104
20,48.957439,44,45,0,44,45,-0.02,-0.01,-0.02,74,29,32,97
21,51.008808,45,47,0,45,47,0.05,0.03,0.09,73,24,29,107
22,53.054867,47,49,0,47,49,0.06,-0.05,-0.08,67,24,36,102
23,53.956783,49,50,0,49,50,0.03,-0.03,0.01,70,24,32,113
24,54.871559,50,51,0,50,51,0.05,-0.02,0.10,64,24,29,118
25,54.672226,51,51,0,51,51,0.06,-0.03,0.11,78,29,34,98
26,54.499237,51,51,0,51,51,0.09,-0.01,0.05,64,24,41,97
27,54.347202,51,51,0,51,51,0.07,-0.01,0.07,80,26,42,99
28,54.212154,51,51,0,51,51,0.08,0,0.17,63,24,28,94
29,54.091114,51,51,0,51,51,0.12,0.02,0.07,72,24,32,104
30,52.888638,51,50,0,51,50,0.15,0.06,0.16,75,29,32,108
31,50.622482,50,48,0,50,48,0.20,-0.05,0.12,94,29,29,141
32,48.388634,48,46,0,48,46,0.05,-0.03,-0.01,75,24,28,104
33,49.405460,46,47,0,46,47,0.05,0,0.03,68,36,29,104
34,49.345757,47,47,0,47,47,0.04,0.01,0.11,80,26,37,104
35,48.217667,47,46,0,47,46,0.05,-0.04,0.07,68,35,29,104
36,48.168747,46,46,0,46,46,0.02,0.03,0.13,72,24,32,121
37,48.122486,46,46,0,46,46,0.01,0.02,0.08,77,29,32,108
38,50.212132,46,48,0,46,48,0.03,0.02,0.01,74,28,42,97
39,52.299492,48,50,0,48,50,0.08,0.02,0.03,68,31,32,102
40,53.315243,50,51,0,50,51,0.03,-0.01,0.05,70,26,31,106
41,53.262230,51,51,0,51,51,0.04,0.01,0.06,64,27,42,99
42,53.212215,51,51,0,51,51,0.08,-0.04,0.09,79,24,29,106
43,51.038956,51,49,0,51,49,0.04,0.02,0.18,63,26,42,104
44,48.881588,49,47,0,49,47,0.05,0,0.07,72,26,31,106
45,49.906185,47,48,0,47,48,0.07,-0.04,0.07,64,37,29,96
46,48.816822,48,47,0,48,47,0.10,-0.01,0.06,70,24,32,114
47,46.679813,47,45,0,47,45,0.08,0.02,0.18,67,24,28,102
48,41.406113,45,40,0,45,40,0.04,-0.03,0.32,74,24,29,109
49,31.997805,40,31,0,40,31,0.05,-0.05,0.32,77,29,29,103
50,23.694973,31,23,0,31,23,0.07,-0.03,0.17,77,37,28,93
51,21.625347,23,21,0,23,21,0.04,-0.01,0.15,67,24,32,112
52,19.558369,21,19,0,21,19,0.07,0.15,0.11,72,24,32,101
53,23.686621,19,23,0,19,23,0,-0.05,-0.03,67,24,31,112
54,28.855724,23,28,0,23,28,0.10,0.03,-0.04,75,24,32,117
55,34.035896,28,33,0,28,33,0.04,0,-0.09,64,28,28,102
56,38.187237,33,37,0,33,37,0.09,0,-0.19,77,34,28,93
57,42.345745,37,41,0,37,41,0.01,0.02,0.04,64,36,28,96
58,45.465073,41,44,0,41,44,-0.03,0.02,0.01,72,31,31,129
59,47.539116,44,46,0,44,46,0.03,0,0.05,67,24,41,103
60,49.612919,46,48,0,46,48,0.05,-0.02,0,74,29,29,108
61,51.686279,48,50,0,48,50,0.06,-0.04,0.03,80,35,29,98
62,53.759026,50,52,0,50,52,0.04,0.02,0.01,70,24,31,104
63,54.779598,52,53,0,52,53,0.11,-0.05,0.18,64,24,42,99
64,54.748684,53,53,0,53,53,0.03,-0.03,0.05,65,26,28,111
65,55.768745,53,54,0,53,54,0.06,-0.06,0.05,82,28,40,99
66,56.788052,54,55,0,54,55,0.10,-0.08,0.04,72,26,36,99
67,57.806618,55,56,0,55,56,0.03,-0.02,0.05,75,36,29,104
68,58.824451,56,57,0,56,57,0.07,0.02,0.08,64,26,32,102
69,59.841568,57,58,0,57,58,0.08,-0.03,0.10,80,31,29,103
70,59.808586,58,58,0,58,58,0.09,-0.02,0.09,64,24,31,109
71,60.825409,58,59,0,58,59,0.12,-0.04,0.13,79,34,29,93
72,61.841560,59,60,0,59,60,0.08,-0.04,0.08,70,44,29,137
73,62.857056,60,61,0,60,61,0.11,-0.05,0.04,80,26,41,98
74,63.871922,61,62,0,61,62,0.05,-0.01,0.06,65,24,31,102
75,63.838219,62,62,0,62,62,0.11,0.03,0.12,67,28,31,108
76,63.805954,62,62,0,62,62,0.12,0.03,0.06,85,27,37,104
77,63.775040,62,62,0,62,62,0.10,0.06,0.07,75,24,29,98
78,63.745373,62,62,0,62,62,0.11,-0.02,0.07,80,31,29,99
79,63.716866,62,62,0,62,62,0.09,0.10,0.13,68,24,36,97
80,63.689445,62,62,0,62,62,0.09,0.03,0.06,77,24,32,102
81,62.620850,62,61,0,62,61,0.07,0,0.09,80,27,32,97
82,62.596828,61,61,0,61,61,0.13,0.01,0.12,87,29,31,99
83,59.454769,61,58,0,61,58,0.16,-0.05,0.16,77,29,32,97
84,55.288872,58,54,0,58,54,0.17,-0.08,0.20,75,32,29,93
85,50.106548,54,49,0,54,49,0.16,-0.01,0.26,64,24,34,94
86,43.914951,49,43,0,49,43,0.16,-0.03,0.32,80,29,36,98
87,35.694752,43,35,0,43,35,0.17,-0.05,0.31,64,26,44,102
88,26.483286,35,26,0,35,26,0.11,-0.04,0.32,78,26,31,104
89,20.359182,26,20,0,26,20,0.11,-0.09,0.08,69,29,29,99
90,20.358643,20,20,0,20,20,0.07,-0.04,-0.01,75,29,32,104
91,23.417032,20,23,0,20,23,0.13,0,-0.03,80,29,31,97
92,27.498026,23,27,0,23,27,0.12,-0.01,-0.04,75,26,31,101
93,31.583015,27,31,0,27,31,0.12,0.05,0.02,69,36,29,106
94,33.626190,31,33,0,31,33,0.09,0.10,-0.09,70,24,32,111
95,37.717937,33,37,0,33,37,0.07,-0.02,-0.04,64,24,32,124
